,code,occupation,tasks,score
300,1616,Financial And Insurance Services Branch Managers,Preparing operational evaluation in risk report for management analysis,0.65
301,1616,Financial And Insurance Services Branch Managers,"Evaluating financial reporting systems, accounting and collection procedures and investment activities and making recommendation for change to procedures, operating systems, budgets and other financial control functions",0.45
302,1616,Financial And Insurance Services Branch Managers,Submitting delinquent accounts to lawyers or external agencies for collection,0.65
303,1616,Financial And Insurance Services Branch Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
304,1617,Legal Managers,"Planning, analysing and advising on the compliance of the company’s business operations with relevant statutory and regulatory requirements and the company’s rights",0.35
305,1617,Legal Managers,"Managing external legal support, if required",0.3
306,1617,Legal Managers,"Keeping abreast of legal developments affecting the company, its clients and the industry and synthesising the information to incorporate it into the company’s transactional practices",0.45
307,1617,Legal Managers,Educating company executives about legal and risk management issues,0.4
308,1617,Legal Managers,Representing the company and liaising directly with clients and negotiating teams,0.25
309,1617,Legal Managers,"Formulating, reviewing and negotiating a broad range of contracts",0.45
310,1617,Legal Managers,Strategising with company executives prior to client negotiations,0.25
311,1617,Legal Managers,Developing and understanding risk mitigation strategies for contractual risks,0.45
312,1617,Legal Managers,Developing internal guidelines and knowledge on various legal and business issues,0.45
313,1617,Legal Managers,"Developing subject matter expertise in areas that benefit the legal group and/or the business (e.g., corporation law, competition law, employment law, data privacy and service line expertis",0.3
314,1617,Legal Managers,"Supporting, promoting and implementing initiatives as part of the legal team",0.35
315,1617,Legal Managers,Planning and implementing policies,0.3
316,1617,Legal Managers,Making budgetary estimates,0.65
317,1617,Legal Managers," managing, planning, scheduling and monitoring the tasks of other workers.",0.45
318,1618,Property Managers,"Handling the financial operations of the property, ensuring that rent is collected and that mortgages, taxes, insurance premiums, salaries and maintenance bills are paid on time",0.45
319,1618,Property Managers,"Supervising the preparation of financial statements and periodic reports to the owners on the status of the property, occupancy rates, expiration dates of leases and other matters",0.45
320,1618,Property Managers,"Negotiating contracts for caretaking, security, groundskeeping, rubbish disposal, and other services",0.4
321,1618,Property Managers,Monitoring the performance of contractors and investigating and resolving complaints from residents and tenants when services are not satisfactory,0.4
322,1618,Property Managers,"Understanding and complying with relevant legislation, ensuring that renting and advertising practices are not discriminatory, and that the property itself complies with all local, state and federal regulations and building code",0.45
323,1618,Property Managers,Making budgetary estimates,0.65
324,1618,Property Managers,Planning and controlling the use of resources and hiring of workers,0.45
325,1618,Property Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
326,1619,Professional Services Managers Not Elsewhere Classified,Planning and implementing policies,0.45
327,1619,Professional Services Managers Not Elsewhere Classified,Making budgetary estimates,0.65
328,1619,Professional Services Managers Not Elsewhere Classified,"Negotiating with suppliers, customers and other organisations",0.3
329,1619,Professional Services Managers Not Elsewhere Classified,Planning and controlling the use of resources and hiring of workers,0.45
